latitude,longitude,ts
48.1068117,11.4773606,57:15.1
48.1067956,11.4774786,51:06.0
48.1067505,11.4772976,20:59.9
41.0402299,28.9796082,05:05.8
48.2627483,11.6672154,44:15.7
48.1344295,11.5703059,31:47.5
48.1086028,11.7156313,16:46.6
48.1470752,11.5611794,28:34.0
48.1470054,11.5611381,12:57.1
41.712179,44.7805078,28:54.4
48.106832,11.4774566,46:33.9
48.1487862,11.5671384,58:15.4
48.1561729,11.580475,01:45.7
48.8615123,2.3398013,52:48.1
48.1469737,11.5611114,34:57.4
48.1416008,11.5738193,54:36.2
48.3085632,11.6060528,01:05.8
48.1068377,11.4774072,53:02.3
48.1347716,11.570035,45:53.9
49.6127286,6.1398372,18:11.0
41.04935,28.9883282,04:15.9
48.1067904,11.4773776,35:06.1
48.1067904,11.4773776,34:35.1
48.1338785,11.5687392,57:16.6
48.1333354,11.5377445,35:37.7
48.2625197,11.6687064,07:12.0
48.1469821,11.5611709,31:07.1
48.2625262,11.667519,10:50.4
48.1471048,11.5611806,16:54.0
48.130605,11.5955015,51:05.2
48.1470458,11.5611223,37:32.1
46.0566843,14.5101605,28:57.4
48.1068299,11.4772573,12:22.6
48.1803099,11.5535959,44:12.0
48.1122271,11.4760551,47:27.9
48.1500127,11.6222262,19:47.9
48.1068085,11.4772951,34:53.4
48.1124892,11.4765729,37:23.0
48.1801479,11.553522,41:24.3
52.3732528,4.9013064,10:22.2
48.1470454,11.5611028,55:23.1
48.7645555,9.1663147,29:55.9
48.1470557,11.5611784,28:44.0
9.9571056,76.3565071,19:03.3
48.1478913,11.5585507,26:28.4
48.1068367,11.4774153,30:29.4
48.1067958,11.477337,06:51.0
48.133879,11.5685877,48:28.6
48.1070068,11.4775687,19:07.9
48.1974395,11.6128075,02:02.7
48.1068177,11.4774286,21:28.8
48.1437235,11.564728,17:33.1
48.1311244,11.5402077,24:54.6
48.1070068,11.4775687,22:22.5
48.1305158,11.5372552,44:23.3
48.1801985,11.5535408,29:34.8
48.1338365,11.5686572,24:29.6
48.2625297,11.6684862,12:39.6
28.6135333,77.2160585,27:47.8
48.1470393,11.5611056,28:54.6
48.1470483,11.5611275,24:53.0
48.147127,11.5612312,40:07.0
48.1068199,11.4773768,21:49.7
48.1068328,11.4774608,30:14.2
48.1068465,11.4774565,01:52.3
48.2677906,11.6647517,07:03.7
48.3382053,9.9992873,30:01.0
48.2620778,11.6524072,46:36.2
50.941006,6.9431896,07:45.3
48.1068395,11.4774908,46:22.8
48.1068431,11.4774638,53:30.7
48.1903697,11.6111224,37:47.9
48.1801613,11.5535257,43:39.6
48.108349,11.4769049,33:49.0
51.4998656,-0.1287815,49:31.3
48.1035604,11.4778552,29:28.5
48.6072028,9.6310729,02:55.0
48.106695,11.477544,41:20.4
48.1470577,11.5611323,02:41.0
48.1340105,11.5684831,10:30.3
48.1340089,11.5684954,10:18.8
48.1470609,11.5611356,57:41.0
48.1338366,11.5684757,29:56.2
9.9346756,76.3775633,13:04.3
48.1068199,11.4773768,10:28.5
48.1085059,11.4752124,44:47.7
48.1340875,11.5705769,27:24.8
48.1069313,11.4775378,43:50.8
48.1471199,11.5613477,27:32.2
48.10686,11.4774966,57:54.4
48.1068117,11.4773606,06:53.8
48.1067832,11.4773147,09:56.6
48.106695,11.477544,09:56.8
48.2625045,11.6678518,20:02.5
48.1067683,11.4773044,47:41.6
48.1068088,11.4774744,10:56.2
48.1470408,11.5611193,25:28.4
48.1470611,11.5611529,37:12.0
48.1769137,11.5884428,47:37.3
48.1469784,11.5611239,04:27.0
48.1137135,11.467162,20:05.7
53.5467977,9.9629154,21:13.7
48.147028,11.5611781,49:22.0
48.1067481,11.4772924,18:33.0
48.1067376,11.4775101,55:02.5
48.1415155,11.5741268,16:26.0
48.1067904,11.4773776,32:36.8
48.1339516,11.5685293,11:53.7
48.1068441,11.4774343,38:01.0
48.1068428,11.4774242,49:51.8
48.1232668,11.4919869,40:30.9
48.1069313,11.4775378,50:10.0
48.1068335,11.477385,57:46.0
48.1068368,11.4774368,57:33.3
48.2260658,11.6794321,33:35.7
48.1067683,11.4773044,38:02.3
46.5181551,6.6274878,14:50.2
48.1500185,11.5370689,25:14.2
11.1053113,76.2687047,47:54.0
48.1801636,11.5535077,16:00.0
9.9348894,76.3777081,15:38.1
48.106695,11.477544,05:04.6
10.7908764,76.2542456,01:53.8
48.1305454,11.5952406,59:24.7
48.1309591,11.5950168,34:25.2
48.1068279,11.4774193,55:19.8
48.1491264,11.5804857,52:48.1
48.1470334,11.5611421,30:03.8
48.1069385,11.4774076,42:58.7
48.1067683,11.4773044,23:13.3
48.1068231,11.4774423,20:09.4
48.1470141,11.5611753,39:08.0
51.4998891,-0.1287344,40:39.8
48.106801,11.4775075,15:37.4
48.1414709,11.5736589,08:22.2
48.1481913,11.5661119,12:16.0
48.168252,11.5860994,12:29.2
48.1339437,11.5688315,44:45.3
48.1066851,11.4776426,00:58.8
48.1067963,11.4775144,38:25.5
48.1069021,11.4774554,04:48.7
48.1067957,11.4775327,45:51.2
48.1415533,11.5744766,42:08.8
47.90004,8.1524105,21:58.2
49.4446105,11.061881,07:04.7
45.6562343,13.7708005,19:09.6
48.1801291,11.5534944,19:54.0
55.8635164,-4.2531874,32:05.8
48.106748,11.477247,20:17.9
48.1068056,11.4774554,53:02.3
51.5016813,-0.0724163,14:17.4
48.1487782,11.5687971,02:51.0
11.1043496,76.2654718,54:42.9
48.147041,11.5611229,17:12.8
48.1068282,11.4774071,15:03.9
52.373852,4.8820981,02:52.7
48.1380581,11.5734913,03:21.4
48.1469821,11.5611408,21:20.2
48.1469793,11.5611224,33:11.0
48.1470414,11.5611164,26:28.5
51.4998887,-0.1287349,08:05.6
22.5858643,88.3581842,16:39.1
51.5902778,-2.9987496,14:54.3
48.106815,11.4774359,59:36.2
48.1469096,11.561121,27:46.0
9.9353626,76.3777449,46:59.9
48.1068282,11.4774221,05:23.8
48.106848,11.4773593,13:11.4
48.1522403,11.5776453,04:59.7
45.6524108,13.7725259,10:34.5
48.1068143,11.4774062,27:31.3
9.9353626,76.3777449,22:13.6
48.110897,11.4789389,14:45.8
48.106806,11.4774055,53:36.0
48.1441867,11.458349,32:40.0
38.7965998,-9.3911688,27:40.4
48.830343,9.3135634,37:30.8
48.1068398,11.4771795,58:15.9
48.1108385,11.4695261,23:37.5
48.1068408,11.4774099,32:13.2
41.389017,2.1128757,23:55.0
48.1465532,11.5620911,33:31.3
48.1069413,11.4774391,09:26.9
48.1067986,11.4773937,29:28.6
48.2625228,11.668338,54:06.7
9.9347599,76.3776686,26:22.7
48.1342218,11.5679275,51:21.0
48.1069425,11.477276,59:53.0
48.1407016,11.6904115,49:46.7
48.106875,11.4769855,05:06.0
48.1067904,11.4773776,28:11.4
45.6450941,13.7585423,49:10.0
8.6088085,76.8599005,27:23.0
48.1472856,11.559881,24:26.0
48.1068595,11.4775031,00:07.9
48.1068773,11.4775127,12:59.8
48.1068152,11.47739,49:36.8
48.1068403,11.4774206,00:24.8
48.1067986,11.4773937,10:53.0
48.3790807,11.0884021,22:20.0
48.1801098,11.553454,18:12.9
48.1067904,11.4773776,56:34.2
48.1073564,11.4772531,25:23.4
48.2677222,11.6648932,03:09.1
48.1470468,11.5611192,30:45.9
48.147006,11.5611589,59:12.3
48.1068078,11.4774921,00:44.9
48.1067633,11.4773537,56:03.8
48.104625,11.476647,21:44.8
48.1068327,11.4774692,51:44.8
41.0412886,28.9814077,13:14.0
48.1068231,11.4774423,57:46.6
51.4998883,-0.128735,41:56.2
9.9348504,76.3777957,14:40.3
48.1068231,11.4774423,50:29.8
48.2628286,11.6671957,00:46.5
48.107304,11.4772683,27:55.0
48.1084662,11.4760241,01:57.0
48.1309245,11.595067,18:04.2
47.993669,7.853736,50:41.9
48.1162979,11.5073103,52:21.5
48.2625224,11.6682891,13:52.7
48.1114042,11.4687407,55:09.1
48.1068348,11.4774543,17:17.7
48.1470483,11.5611244,35:19.8
48.2656631,11.6712363,37:32.2
48.1470173,11.5611064,48:07.0
48.1600293,11.5907503,43:30.3
48.1068658,11.4774084,23:42.2
48.1348083,11.5772656,05:04.3
48.1067904,11.4773776,29:27.1
60.1856963,24.8244643,59:57.3
48.1522,11.5602439,45:44.0
48.1469744,11.561219,17:43.0
48.1471222,11.5613333,29:12.0
48.1469912,11.5611358,28:06.0
48.1069256,11.4772726,09:01.8
48.1469736,11.5611082,14:09.7
48.1067904,11.4773776,57:11.2
48.1469799,11.561156,49:35.0
48.1578153,11.5877754,28:49.9
48.7645707,9.168764,41:58.9
48.1068549,11.4774402,34:58.9
48.1382263,11.5732963,09:49.2
48.1487932,11.5657155,29:21.1
48.1469688,11.561174,42:27.5
54.5854027,-5.9297986,52:00.7
48.1920473,11.5873115,40:44.0
48.106695,11.477544,09:44.7
48.1069708,11.4773031,06:11.1
9.9340833,76.3769323,07:17.4
51.0896987,-1.7992247,33:16.2
48.1067817,11.4775093,28:42.0
48.137965,11.5735635,41:49.1
48.1035604,11.4778552,20:54.6
48.106875,11.477492,52:32.4
47.8207295,13.0391139,19:46.0
48.1470455,11.5611057,49:00.6
48.1066462,11.4771518,28:21.5
48.1068325,11.4774001,52:37.6
48.1281239,11.543783,00:51.0
48.1068199,11.4773768,33:22.5
48.1470167,11.5611284,25:54.0
48.1475894,11.5584265,50:05.7
48.1068263,11.4774373,42:32.5
48.1396876,11.5895883,24:24.0
48.1339315,11.5685311,55:19.0
48.1068231,11.4774423,52:30.5
48.106846,11.4774777,27:45.4
38.7966943,-9.3909198,27:19.2
48.2631887,11.668994,17:00.6
48.1470441,11.5611289,30:40.7
48.1402446,11.5656997,21:59.9
48.1383737,11.574814,45:53.5
48.1067904,11.4773776,26:26.9
48.1067904,11.4773776,27:31.7
9.9353626,76.3777449,44:04.7
9.9348894,76.3777081,54:39.5
9.9353626,76.3777449,09:03.5
52.2351084,20.984574,51:07.6
48.1801265,11.5534944,54:12.0
48.1068199,11.4773768,17:35.2
48.1801956,11.553555,38:54.8
48.1476295,11.5580311,10:22.0
48.2669901,11.6685151,34:17.8
48.1068231,11.4774423,55:08.3
48.1067904,11.4773776,31:32.6
48.1067986,11.4773937,09:12.5
48.1470037,11.5611712,39:42.1
48.1339007,11.5688071,02:35.4
48.1440399,11.4598619,28:01.1
53.1681448,8.6509959,44:32.0
22.5444939,88.3855801,08:20.7
48.1067945,11.477532,19:08.4
48.1374987,11.5232905,22:43.3
48.1080757,11.4755406,27:43.1
9.9680427,76.284133,00:03.0
48.2645903,11.6729924,16:39.1
9.5942782,76.5534389,18:31.1
48.1469899,11.5611293,23:45.8
48.1469765,11.5611583,10:23.8
48.1500881,11.6222574,13:36.3
48.1069419,11.4775294,44:12.6
48.1067683,11.4773044,16:45.2
48.1068186,11.4775229,24:01.1
51.0559517,3.7275817,11:10.5
48.1345298,11.5662292,17:27.8
48.1068311,11.47741,40:49.7
48.1470642,11.5702388,32:47.0
40.4200732,-3.7081511,17:12.7
48.1068144,11.4774039,23:47.3
48.1469635,11.5610948,31:11.7
48.1471444,11.5611491,24:25.9
48.147509,11.5592172,58:50.2
48.2628128,11.6671517,50:36.3
48.1881854,11.5446586,00:56.0
48.106831,11.4775586,11:21.0
22.5444939,88.3855801,06:57.2
48.1801658,11.553492,51:33.5
48.1470228,11.561179,23:48.0
48.106695,11.477544,54:18.4
48.1069413,11.4774391,11:49.1
48.1413721,11.5731662,52:26.6
48.2677731,11.6649806,08:21.3
48.1897077,11.5844761,44:22.4
48.262491,11.6670877,28:06.9
48.141613,11.5646157,16:10.5
48.1067548,11.4774236,36:54.8
48.1067991,11.4774419,04:22.1
48.2625334,11.6682854,10:15.6
48.106854,11.4774419,24:57.3
48.4219408,11.4786207,22:42.0
52.4558951,13.5111762,26:03.0
48.106872,11.4774011,11:09.2
48.1722983,11.5728438,38:06.9
48.1066904,11.4772982,08:42.3
48.106695,11.477544,31:26.2
48.1470098,11.5611648,48:21.0
48.1404246,11.5675597,52:21.0
48.1068231,11.4774423,34:17.6
52.3925088,4.8386937,39:06.6
48.1064271,11.4772098,48:32.0
48.1281239,11.543783,54:29.6
11.0633153,76.2699738,58:07.2
53.4755922,-2.2577645,51:57.0
48.1469532,11.5610981,56:57.5
10.0276819,76.3075871,04:38.0
48.2609494,11.6511109,29:14.7
48.1367033,11.5695952,52:20.5
48.1072662,11.4773688,30:25.2
48.1068543,11.4774703,38:15.6
48.145699,11.5770091,05:03.1
48.1470675,11.5611751,53:11.2
48.1473884,11.5604032,00:25.1
48.1068673,11.4774573,23:21.3
48.1470786,11.5611004,17:54.4
60.1632185,24.9463525,59:26.2
9.9346758,76.3775646,19:49.4
48.1801618,11.5535279,37:34.1
48.7966687,9.1702822,13:38.2
9.9346748,76.3775653,46:31.1
48.1069413,11.4774391,22:08.1
48.1068571,11.4763265,33:15.7
46.0518676,14.5083675,13:50.0
48.1470144,11.561124,39:02.1
48.1340207,11.5684133,12:18.2
48.1881552,11.608143,41:34.7
35.8949532,14.5124747,01:42.0
9.9340833,76.3769323,59:01.7
48.106974,11.4775039,19:31.8
50.1079169,8.6655969,24:34.5
53.3407951,-6.2558399,19:15.8
48.1469962,11.5611684,26:41.4
48.1068231,11.4774423,47:21.9
48.1067074,11.4775943,45:48.0
48.14359,11.557591,22:56.0
